state,number
Alabama,65
Alaska,45
Arizona,83
Arkansas,42
California,1648
Colorado,207
Connecticut,157
Delaware,22
Florida,251
Georgia,130
Idaho,44
Illinois,590
Indiana,152
Iowa,103
Kansas,97
Kentucky,62
Louisiana,93
Maine,51
Maryland,118
Massachusetts,531
Michigan,323
Minnesota,385
Mississippi,67
Missouri,267
Montana,55
Nebraska,61
Nevada,36
New Hampshire,83
New Jersey,391
New Mexico,38
New York,1160
North Carolina,86
North Dakota,17
Ohio,331
Oklahoma,93
Oregon,132
Pennsylvania,537
Rhode Island,56
South Carolina,52
South Dakota,27
Tennessee,62
Texas,370
Utah,91
Vermont,71
Virginia,121
Washington,241
West Virginia,24
Wisconsin,211
Wyoming,14
