state,winterPer100kResidents,summerPer100kResidents
Alabama,0.1046,1.2135
Alaska,5.0688,1.5488
Arizona,0.0939,1.2359
Arkansas,0.0343,1.3032
California,0.4912,4.0049
Colorado,2.2469,1.9287
Connecticut,1.4269,2.7699
Delaware,0.1114,2.5614
Florida,0.1596,1.2818
Georgia,0.0723,1.3935
Hawaii,0.147,6.9102
Idaho,1.6586,1.2121
Illinois,0.8495,3.0318
Indiana,0.2313,2.0204
Iowa,0.2626,2.1993
Kansas,0.0701,2.9441
Kentucky,0.0691,1.2444
Louisiana,0.0662,1.9191
Maine,1.6562,1.882
Maryland,0.1732,1.784
Massachusetts,3.2378,3.864
Michigan,1.0826,2.0539
Minnesota,4.6192,2.3379
Mississippi,0.0337,2.022
Missouri,0.3173,2.5881
Montana,2.5267,3.2342
Nebraska,0.3833,2.4092
Nevada,0.3703,0.9257
New Hampshire,3.95,2.2029
New Jersey,0.6142,3.4236
New Mexico,0.3399,1.5055
New York,1.414,3.8342
North Carolina,0.1573,0.776
North Dakota,1.1894,1.4868
Ohio,0.3641,2.167
Oklahoma,0.1599,2.2925
Oregon,0.5481,2.7407
Pennsylvania,0.3228,3.519
Rhode Island,1.7101,3.5152
South Carolina,0.0432,1.0378
South Dakota,0.2456,2.8249
Tennessee,0.063,0.9139
Texas,0.1034,1.4555
Utah,1.6643,1.6281
Vermont,8.47,1.7579
Virginia,0.1125,1.3873
Washington,0.7882,2.885
West Virginia,0.054,1.0254
Wisconsin,1.354,2.0573
Wyoming,1.4194,1.242
United States,0.673,2.3754
